Glabel:   0; set:  1; (VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 1.5 turn off
Glabel: 393; set: 35; (BB) aerial walkover forward with 1.5 twist
Glabel: 394; set: 35; (BB) aerial walkover forward with 0.5 twist
Glabel: 395; set: 35; (BB) aerial walkover forward with 1 twist
Glabel: 396; set: 35; (BB) aerial walkover forward
Glabel: 397; set: 41; (UB) pike sole circle backward with 1.5 turn to handstand
Glabel: 398; set: 41; (UB) pike sole circle backward with 1 turn to handstand
Glabel: 399; set: 41; (UB) pike sole circle backward with 0.5 turn to handstand
Glabel: 400; set: 41; (UB) pike sole circle backward to handstand
Glabel: 401; set: 41; (UB) pike sole circle backward, end with toes-on-bar
Glabel: 402; set: 41; (UB) pike sole circle forward with 1 turn to handstand
Glabel: 403; set: 41; (UB) pike sole circle forward with 0.5 turn to handstand
Glabel: 404; set: 41; (UB) pike sole circle forward to handstand
Glabel: 405; set: 41; (UB) pike sole circle forward, end with toes-on-bar
Glabel: 406; set: 41; (UB) straddle sole circle backward, end with toes-on-bar
Glabel: 407; set: 41; (UB) straddle sole circle forward, end with toes-on-bar
Glabel: 408; set: 41; (UB) giant circle backward with 2 turn to handstand
Glabel: 409; set: 41; (UB) giant circle backward with 1.5 turn to handstand
Glabel: 410; set: 41; (UB) giant circle backward with hop 1 turn to handstand
Glabel: 411; set: 41; (UB) giant circle backward with 1 turn to handstand
Glabel: 412; set: 41; (UB) giant circle backward on one arm with 0.5 turn to handstand
Glabel: 413; set: 41; (UB) giant circle backward with 0.5 turn to handstand
Glabel: 414; set: 41; (UB) clear rear pike support with legs together, full circle swing backward to finish in clear rear support
Glabel: 415; set: 41; (UB) giant circle backward on one arm
Glabel: 416; set: 41; (UB) giant circle backward
Glabel: 417; set: 41; (UB) giant circle forward with 1 turn on one arm before handstand phase
Glabel: 418; set: 41; (UB) giant circle forward with 1 turn to handstand
Glabel: 419; set: 41; (UB) giant circle forward with 1.5 turn to handstand
Glabel: 420; set: 41; (UB) giant circle forward with 0.5 turn to handstand
Glabel: 421; set: 41; (UB) giant circle forward
Glabel: 422; set: 41; (UB) clear hip circle backward with 1.5 turn to handstand
Glabel: 423; set: 41; (UB) clear hip circle backward with 1 turn to handstand
Glabel: 424; set: 41; (UB) clear hip circle backward with 0.5 turn to handstand
Glabel: 425; set: 41; (UB) clear hip circle backward to handstand
Glabel: 426; set: 41; (UB) clear hip circle forward with 0.5 turn to handstand
Glabel: 427; set: 41; (UB) clear hip circle forward to handstand
Glabel: 428; set: 41; (UB) hip circle backward, hips touching bar
Glabel: 429; set: 41; (UB) hip circle forward, hips touching bar
Glabel: 430; set: 41; (UB) clear pike circle backward with 1.5 turn to handstand
Glabel: 431; set: 41; (UB) clear pike circle backward with 1 turn to handstand
Glabel: 432; set: 41; (UB) clear pike circle backward with 0.5 turn to handstand
Glabel: 433; set: 41; (UB) clear pike circle backward to handstand
Glabel: 434; set: 41; (UB) from handstand clear pike circle backward to rear inverted pike support
Glabel: 435; set: 41; (UB) from rear support, seat/pike circle backward to rear support
Glabel: 436; set: 41; (UB) clear pike circle forward with 1 turn to handstand
Glabel: 437; set: 41; (UB) clear pike circle forward with 0.5 turn to handstand
Glabel: 438; set: 41; (UB) clear pike circle forward to handstand
Glabel: 439; set: 41; (UB) from rear support, seat/pike circle forward to rear support
Glabel: 440; set: 41; (UB) stalder backward with 1.5 turn to handstand
Glabel: 441; set: 41; (UB) stalder backward with 1 turn to handstand
Glabel: 442; set: 41; (UB) stalder backward with 0.5 turn to handstand
Glabel: 443; set: 41; (UB) stalder backward to handstand
Glabel: 444; set: 41; (UB) clear straddle circle backward to clear support
Glabel: 445; set: 41; (UB) stalder forward with 1 turn to handstand
Glabel: 446; set: 41; (UB) stalder forward with 0.5 turn to handstand
Glabel: 447; set: 41; (UB) stalder forward to handstand
Glabel: 448; set: 41; (UB) clear straddle circle forward to clear support
Glabel: 449; set: 42; (UB) stoop, straddle vault and 0.5 turn over high bar to hang
Glabel: 450; set: 42; (UB) (swing backward) with 0.5 turn and straddle flight backward over high bar to catch high bar
Glabel: 451; set: 42; (UB) 0.5 turn to counter straddle in flight over high bar to hang
Glabel: 452; set: 42; (UB) counter straddle over high bar with 0.5 turn to hang
Glabel: 453; set: 42; (UB) counter straddle over high bar to hang
Glabel: 454; set: 42; (UB) stoop, pike vault and 0.5 turn over high bar to hang
Glabel: 455; set: 42; (UB) (swing forward with 0.5 turn) pike vault over high bar to hang
Glabel: 456; set: 42; (UB) counter piked over high bar to hang
Glabel: 457; set: 42; (UB) (swing backward) salto forward tucked over high bar to hang on high bar
Glabel: 458; set: 42; (UB) (pike sole circle backward) counter stretched (reverse hecht) in layout position over HB to hang
Glabel: 459; set: 42; (UB) (swing forward or under-swing with support of feet) counter salto forward straddled to catch on high bar
Glabel: 460; set: 42; (UB) (swing forward) 0.5 turn and salto forward straddled
Glabel: 461; set: 42; (UB) (swing backward) salto forward straddled with 0.5 turn to hang on high bar
Glabel: 462; set: 42; (UB) (swing backward or front support) salto forward straddled to hang on high bar
Glabel: 463; set: 42; (UB) (swing backward) 1 turn to hang on high bar
Glabel: 464; set: 42; (UB) (under-swing on high bar or low bar) 1.5 turn to hang
Glabel: 465; set: 42; (UB) (swing backward) salto forward piked to hang on high bar
Glabel: 466; set: 42; (UB) (swing forward or hip circle backward) salto backward with 0.5 turn piked to hang on high bar
Glabel: 467; set: 42; (UB) (swing backward) salto forward tucked to hang on high bar
Glabel: 468; set: 42; (UB) (swing backward) salto forward stretched to hang on high bar
Glabel: 469; set: 42; (UB) (swing forward) salto backward stretched with 1.5 turn to hang on high bar
Glabel: 470; set: 42; (UB) (swing forward) salto backward stretched with 0.5 turn to hang on high bar
Glabel: 471; set: 43; (UB) transition flight from high bar to low bar
Glabel: 472; set: 43; (UB) transition flight from low bar to high bar
Glabel: 473; set: 44; (UB) (hip circle backward on low bar or high bar, also clear) hecht with 0.5 turn to salto forward
Glabel: 474; set: 44; (UB) (hip circle backward on low bar or high bar, also clear) hecht with 1 turn to salto backward
Glabel: 475; set: 44; (UB) (hip circle backward on low bar or high bar, also clear) hecht with salto backward tucked
Glabel: 476; set: 44; (UB) (hip circle backward on low bar or high bar, also clear) hecht with 1 turn
Glabel: 477; set: 44; (UB) (hip circle backward on low bar or high bar, also clear) hecht
Glabel: 478; set: 44; (UB) (swing forward) double salto backward tucked with 1.5 turn
Glabel: 479; set: 44; (UB) (swing forward) salto with 0.5 turn into salto forward tucked
Glabel: 480; set: 44; (UB) (swing forward) double salto backward tucked with 2 turn
Glabel: 481; set: 44; (UB) (swing forward) double salto backward tucked with 1 turn
Glabel: 482; set: 44; (UB) (swing forward) triple salto backward tucked
Glabel: 483; set: 44; (UB) (swing forward) double salto backward tucked
Glabel: 484; set: 44; (UB) (swing backward) double salto forward tucked
Glabel: 485; set: 44; (UB) (swing backward) salto forward with 0.5 turn into salto backward tucked
Glabel: 486; set: 44; (UB) (swing backward) double salto forward tucked with 0.5 turn
Glabel: 487; set: 44; (UB) (under-swing or clear under-swing) 0.5 turn to salto backward tucked with 1 twist
Glabel: 488; set: 44; (UB) (under-swing or clear under-swing) salto forward tucked with 1.5 turn
Glabel: 489; set: 44; (UB) (under-swing or clear under-swing) 0.5 turn to salto backward tucked
Glabel: 490; set: 44; (UB) (under-swing or clear under-swing) salto forward tucked with 0.5 turn
Glabel: 491; set: 44; (UB) (under-swing or clear under-swing) salto forward tucked with 1 turn
Glabel: 492; set: 44; (UB) (under-swing or clear under-swing) salto forward tucked
Glabel: 493; set: 44; (UB) (swing forward) salto backward tucked with 0.5 turn
Glabel: 494; set: 44; (UB) (swing forward) salto backward tucked with 1 turn
Glabel: 495; set: 44; (UB) (swing forward or from high bar) salto backward tucked
Glabel: 496; set: 44; (UB) (swing backward) salto forward tucked with 1 turn
Glabel: 497; set: 44; (UB) (swing backward) salto forward tucked with 0.5 turn
Glabel: 498; set: 44; (UB) (swing backward) salto forward tucked
Glabel: 499; set: 44; (UB) (under-swing or clear under-swing) 0.5 turn to salto backward piked
Glabel: 500; set: 44; (UB) (under-swing or clear under-swing) salto forward piked with 0.5 turn
Glabel: 501; set: 44; (UB) (under-swing or clear under-swing) salto forward piked with 1 turn
Glabel: 502; set: 44; (UB) (under-swing or clear under-swing) salto forward piked
Glabel: 503; set: 44; (UB) (swing forward) 0.5 turn to double salto forward piked
Glabel: 504; set: 44; (UB) (swing forward) double salto backward piked with 1 turn in first or second salto
Glabel: 505; set: 44; (UB) (swing forward) double salto backward piked
Glabel: 506; set: 44; (UB) (swing forward) salto backward piked
Glabel: 507; set: 44; (UB) (from high bar) salto backward piked
Glabel: 508; set: 44; (UB) (swing backward or from high bar) salto forward piked
Glabel: 509; set: 44; (UB) (swing backward) double salto forward piked with 0.5 turn
Glabel: 510; set: 44; (UB) (swing forward) salto backward stretched with 0.5 turn into salto forward stretched
Glabel: 511; set: 44; (UB) (swing forward) salto backward stretched with 2.5 turn
Glabel: 512; set: 44; (UB) (swing forward) salto backward stretched with 1.5 turn
Glabel: 513; set: 44; (UB) (swing forward) salto backward stretched with 0.5 turn
Glabel: 514; set: 44; (UB) (swing forward) double salto backward stretched with 2 turn
Glabel: 515; set: 44; (UB) (swing forward) double salto backward stretched with 1 turn
Glabel: 516; set: 44; (UB) (swing forward) double salto backward stretched
Glabel: 517; set: 44; (UB) (swing forward) salto backward stretched with 3 turn
Glabel: 518; set: 44; (UB) (swing forward) salto backward stretched with 2 turn
Glabel: 519; set: 44; (UB) (swing forward) salto backward stretched with 1 turn
Glabel: 520; set: 44; (UB) (swing forward) salto backward stretched
Glabel: 521; set: 44; (UB) (swing backward) salto forward stretched with 2 turn
Glabel: 522; set: 44; (UB) (swing backward) salto forward stretched with 1 turn
Glabel: 523; set: 44; (UB) (swing backward) salto forward stretched
Glabel: 524; set: 44; (UB) (from high bar) 0.5 turn to salto backward stretched
Glabel: 525; set: 44; (UB) (from high bar) salto forward stretched with 0.5 turn
Glabel: 526; set: 44; (UB) (swing backward) salto forward stretched with 1.5 turn
Glabel: 527; set: 44; (UB) (swing backward) salto forward stretched with 0.5 turn
Glabel: 528; set: 44; (UB) 0.5 turn to stand
Glabel: 529; set: 44; (UB) 1 turn to stand
